Date,Close,High,Low,Open,Volume,Fraud_Prediction
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2024-10-04,4180.34716796875,4225.323564684505,4152.62381995046,4153.557948067016,2965463,1
2024-10-07,4200.599609375,4224.586928824883,4157.884122221105,4201.631662702275,1472619,1
2024-10-08,4181.3310546875,4207.038783776306,4132.864868987183,4200.353958171027,1541867,1
2024-10-09,4181.0361328125,4222.3749081806955,4174.891815425741,4187.9667308148455,1082504,1
2024-10-10,4155.91748046875,4221.244048728042,4127.6046606504715,4181.330470770868,2378875,1
2024-10-11,4079.040283203125,4170.221949176848,4042.9116985720275,4072.944928615996,5759183,1
2024-10-14,4066.701904296875,4094.965760922086,4052.4965321992213,4069.9953540303254,2137590,1
2024-10-15,4047.187744140625,4099.439400703778,4025.756558136523,4061.1967871084994,2759474,1
2024-10-16,4025.70751953125,4045.418537564878,3998.426750535521,4015.925814326252,2359151,1
2024-10-17,4039.52001953125,4060.1159634051687,4023.741364492149,4043.2555724895037,2522659,1
2024-10-18,4063.220458984375,4085.985352412221,4020.7953476110742,4030.6502381689447,2361000,1
2024-10-21,4020.647705078125,4079.875694816127,4010.940541435238,4072.63225386454,1595450,1
2024-10-22,3957.231201171875,4030.453084242788,3948.214072783788,4006.998397202053,1928049,1
2024-10-23,4007.244873046875,4053.8583129067224,3937.176504942076,3941.562123718608,1966476,1
2024-10-24,3989.1611328125,4019.809939302293,3945.8982586335824,3945.8982586335824,2676744,1
2024-10-25,3998.671142578125,4032.62119222791,3974.1816434487196,3998.1783980531704,1759676,1
2024-10-28,4031.488037109375,4074.0117940177324,3992.2162016366315,4009.9056822307925,1532534,1
2024-10-29,4016.1142578125,4043.9543235221386,4001.184194918886,4036.415428516039,1445885,1
2024-10-30,4025.3779296875,4047.40370716728,4001.1350423451786,4015.8680561740116,1935002,1
2024-10-31,3910.864013671875,4019.120083197284,3902.536679230978,4010.940475876283,3740372,1
2024-11-01,3926.385498046875,3940.921461805209,3918.3538583788945,3931.9536556418684,154895,1
2024-11-04,3906.62646484375,3933.9737869859623,3856.4651665950405,3908.7454107378453,2269192,1
2024-11-05,3913.72216796875,3928.159486802753,3883.911123193089,3883.911123193089,967590,1
2024-11-06,4079.57958984375,4089.5822073155864,3917.5652886357793,3945.5039990332534,3792017,1
2024-11-07,4090.66650390625,4144.769757867758,4025.7721926964314,4109.193987227991,3724349,1
2024-11-08,4086.823486328125,4109.2433643879185,4057.899283668953,4094.707399492009,1648039,1
2024-11-11,4137.77294921875,4172.855973445886,4057.898775266831,4068.295973166591,1406487,1
